url,title_length,article_length,keywords,shares,5*B2+C2-3*D2
http://mashable.com/2013/01/07/social-media-iran/,3,634,5,625,
http://mashable.com/2013/01/07/social-tv-movies-getglue-2012/,4,664,9,656,
http://mashable.com/2013/01/07/sony-stops-manufacturing-playstation-2/,4,682,6,682,
http://mashable.com/2013/01/07/stolen-iphone-dating/,5,706,7,710,
http://mashable.com/2013/01/07/targus-touch-pen-windows-8/,5,717,10,711,
http://mashable.com/2013/01/07/ticketmaster-inauguration/,5,726,6,734,
http://mashable.com/2013/01/07/top-twitter-pics-1-7/,5,750,10,743,
http://mashable.com/2013/01/07/toshiba-4k-tv/,6,747,8,749,
http://mashable.com/2013/01/07/traffic-signals-bugs/,6,761,8,766,
http://mashable.com/2013/01/07/vh1-new-logo-plus-sign/,6,765,10,773,
http://mashable.com/2013/01/07/youtube-future-tv/,7,765,7,779,
http://mashable.com/2013/01/07/youtube-vs-cable/,7,754,6,762,
http://mashable.com/2013/01/08/artist-drone-pilots-craigslist-fbi/,7,769,6,787,
http://mashable.com/2013/01/08/japanese-cat-bomb-hacker/,7,789,6,808,
http://mashable.com/2013/01/08/lego-iphone-case/,8,798,10,810,
http://mashable.com/2013/01/08/nfl-arian-foster-twitter-avatar/,8,834,4,859,
http://mashable.com/2013/01/08/personal-for-education/,9,832,10,848,
http://mashable.com/2013/01/08/ro-marley-ces-2013/,9,854,10,866,
http://mashable.com/2013/01/08/samsung-curved-oled/,9,860,8,878,
http://mashable.com/2013/01/08/snow-dogs/,9,857,7,878,
http://mashable.com/2013/01/08/star-trek-into-darkness-app/,9,877,10,894,
http://mashable.com/2013/01/08/star-wars-episode-vii-who-will-direct-it-now/,9,892,5,920,
http://mashable.com/2013/01/08/t-mobile-data/,10,881,7,917,
http://mashable.com/2013/01/08/t-mobile-value-plan/,10,889,7,913,
http://mashable.com/2013/01/09/1600-penn-sprinkles-cupcakes/,10,890,6,926,
http://mashable.com/2013/01/09/50-cent-ces/,10,899,7,932,
http://mashable.com/2013/01/09/amazon-predictions-2013/,10,902,6,928,
http://mashable.com/2013/01/09/apple-phablet/,10,903,8,929,
http://mashable.com/2013/01/09/arrested-development-may/,10,905,5,938,
http://mashable.com/2013/01/09/bad-instagram-filters/,10,898,9,919,
http://mashable.com/2013/01/09/beam-remote-telepresence/,10,902,8,930,
http://mashable.com/2013/01/09/bieber-4chan-hoax/,10,937,8,966,
http://mashable.com/2013/01/09/blue-umbrella-teaser-video-pixar/,10,964,9,987,
